[2017-07-14 13:17:36] Downloading update (5,834 of 6,284 KB)...
[2017-07-14 13:17:37] Downloading update (5,845 of 6,284 KB)...
[2017-07-14 13:17:37] Downloading update (5,858 of 6,284 KB)...
[2017-07-14 13:17:38] Downloading update (5,877 of 6,284 KB)...
[2017-07-14 13:17:38] Downloading update (5,883 of 6,284 KB)...
[2017-07-14 13:17:38] Downloading update (5,890 of 6,284 KB)...
[2017-07-14 13:17:39] Downloading update (5,895 of 6,284 KB)...
[2017-07-14 13:17:39] Downloading update (5,897 of 6,284 KB)...
[2017-07-14 13:17:39] Downloading update (5,914 of 6,284 KB)...
[2017-07-14 13:17:39] Downloading update (5,922 of 6,284 KB)...
[2017-07-14 13:17:40] Downloading update (5,939 of 6,284 KB)...
[2017-07-14 13:17:41] Downloading update (5,944 of 6,284 KB)...
[2017-07-14 13:17:41] Downloading update (5,959 of 6,284 KB)...
[2017-07-14 13:17:42] Downloading update (5,960 of 6,284 KB)...
[2017-07-14 13:17:42] Downloading update (5,963 of 6,284 KB)...
[2017-07-14 13:17:42] Downloading update (5,966 of 6,284 KB)...
[2017-07-14 13:17:43] Downloading update (5,977 of 6,284 KB)...
[2017-07-14 13:17:43] Downloading update (5,985 of 6,284 KB)...
[2017-07-14 13:17:44] Downloading update (5,986 of 6,284 KB)...
[2017-07-14 13:17:44] Downloading update (5,991 of 6,284 KB)...
[2017-07-14 13:17:45] Downloading update (5,993 of 6,284 KB)...
[2017-07-14 13:17:45] Downloading update (6,009 of 6,284 KB)...
[2017-07-14 13:17:46] Downloading update (6,027 of 6,284 KB)...
[2017-07-14 13:17:46] Downloading update (6,038 of 6,284 KB)...
[2017-07-14 13:17:46] Downloading update (6,041 of 6,284 KB)...
[2017-07-14 13:17:47] Downloading update (6,061 of 6,284 KB)...
[2017-07-14 13:17:47] Downloading update (6,079 of 6,284 KB)...
[2017-07-14 13:17:48] Downloading update (6,095 of 6,284 KB)...
[2017-07-14 13:17:48] Downloading update (6,100 of 6,284 KB)...
[2017-07-14 13:17:48] Downloading update (6,101 of 6,284 KB)...
[2017-07-14 13:17:48] Downloading update (6,103 of 6,284 KB)...
[2017-07-14 13:17:49] Downloading update (6,131 of 6,284 KB)...
[2017-07-14 13:17:49] Downloading update (6,147 of 6,284 KB)...
[2017-07-14 13:17:49] Downloading update (6,157 of 6,284 KB)...
[2017-07-14 13:17:50] Downloading update (6,163 of 6,284 KB)...
[2017-07-14 13:17:50] Downloading update (6,192 of 6,284 KB)...
[2017-07-14 13:17:51] Downloading update (6,193 of 6,284 KB)...
[2017-07-14 13:17:51] Downloading update (6,195 of 6,284 KB)...
[2017-07-14 13:17:51] Downloading update (6,214 of 6,284 KB)...
[2017-07-14 13:17:52] Downloading update (6,216 of 6,284 KB)...
